"country","area_km2","co2_emissions","millionth_co2_per_km2"
"albania",28748,"1.258194928","43.7663464588841"
"albania",28748,"1.374186047","47.80110084179769"
"albania",28748,"1.439955964","50.08890928064561"
"albania",28748,"1.181681144","41.10481229998608"
"albania",28748,"1.11174196","38.67197578962015"
"albania",28748,"1.166099043","40.56278847224155"
"albania",28748,"1.333055465","46.37037237373034"
"albania",28748,"1.3637463","47.43795394462224"
"albania",28748,"1.519551277","52.8576345137053"
"albania",28748,"1.558967572","54.22873145957979"
"albania",28748,"1.753239905","60.98650010435509"
"albania",28748,"1.989497923","69.20474199944344"
"albania",28748,"2.515914398","87.51615409767636"
"albania",28748,"2.303897417","80.14113736607764"
"albania",28748,"1.849006691","64.3177504869904"
"albania",28748,"1.910633637","66.46144556143037"
"albania",28748,"2.013584562","70.04259642409907"
"albania",28748,"2.275876391","79.16642517740365"
"albania",28748,"2.53062504","88.02786419924864"
"albania",28748,"2.898208518","100.8142659663281"
"albania",28748,"1.93505831","67.31105850841797"
"albania",28748,"2.693023914","93.6769136635592"
"albania",28748,"2.624856785","91.30571813691388"
"albania",28748,"2.683239919","93.33657711840824"
"albania",28748,"2.694291374","93.7210022958119"
"albania",28748,"2.658015382","92.4591408793655"
"albania",28748,"2.665356221","92.7144921733686"
"albania",28748,"2.414060815","83.97317430777792"
"albania",28748,"2.331598531","81.10472140670655"
"albania",28748,"2.783243075","96.81518975233061"
"albania",28748,"1.678106654","58.37298782524002"
"albania",28748,"1.3122126","45.64535272018924"
"albania",28748,"0.774724911","26.948828127174064"
"albania",28748,"0.723790292","25.177065952414083"
"albania",28748,"0.600203708","20.878103102824543"
"albania",28748,"0.654537133","22.76809284124113"
"albania",28748,"0.636625313","22.145029671629334"
"albania",28748,"0.49036506","17.05736259913733"
"albania",28748,"0.560271437","19.489057917072493"
"albania",28748,"0.960164412","33.3993464588841"
"albania",28748,"0.978174681","34.02583417976903"
"albania",28748,"1.053304176","36.63921580631696"
"albania",28748,"1.229540709","42.769608633644076"
"albania",28748,"1.412697196","49.14071225824405"
"albania",28748,"1.376212735","47.871599241686376"
"albania",28748,"1.412498211","49.133790559343254"
"albania",28748,"1.302576367","45.31015608042298"
"albania",28748,"1.322334855","45.99745564908863"
"albania",28748,"1.484311139","51.631805308195354"
"albania",28748,"1.495600199","52.02449558230138"
"albania",28748,"1.578573584","54.91072714623626"
"albania",28748,"1.803714725","62.74226815778489"
"albania",28748,"1.692908325","58.88786437317379"
"albania",28748,"1.749211079","60.84635727702796"
"albania",28748,"1.978763312","68.83133824961737"
"algeria",2381740,"0.557120304","0.23391314921024126"
"algeria",2381740,"0.535024402","0.22463593927128905"
"algeria",2381740,"0.487888633","0.20484546298084594"
"algeria",2381740,"0.455573722","0.19127768858061753"
"algeria",2381740,"0.462362729","0.19412812859506076"
"algeria",2381740,"0.525614967","0.2206852834482353"
"algeria",2381740,"0.65338888","0.2743325803824095"
"algeria",2381740,"0.635888321","0.2669847762560145"
"algeria",2381740,"0.66316112","0.27843556391545676"
